,w0,w1,w2,w3,a0,a1,a2,a3,direction
0,300.0,449.0,300.0,451.0,0,1,0,0,right
1,300.0,447.0,300.0,453.0,0,1,0,0,right
2,300.0,445.0,300.0,455.0,0,1,0,0,right
3,300.0,443.0,300.0,457.0,0,1,0,0,right
4,300.0,441.0,300.0,459.0,0,1,0,0,right
5,300.0,438.0,300.0,462.0,0,1,0,0,right
6,300.0,437.0,300.0,463.0,0,1,0,0,right
7,300.0,436.0,300.0,464.0,0,1,0,0,right
8,300.0,434.0,300.0,466.0,0,1,0,0,right
9,300.0,433.0,300.0,467.0,0,1,0,0,right
10,300.0,432.0,300.0,468.0,0,1,0,0,right
11,300.0,426.0,300.0,474.0,0,1,0,0,right
12,300.0,425.0,300.0,475.0,0,1,0,0,right
13,300.0,420.0,300.0,480.0,0,1,0,0,right
14,300.0,419.0,300.0,481.0,0,1,0,0,right
15,300.0,418.0,300.0,482.0,0,1,0,0,right
16,300.0,416.0,300.0,484.0,0,1,0,0,right
17,300.0,415.0,300.0,485.0,0,1,0,0,right
18,300.0,414.0,300.0,486.0,0,1,0,0,right
19,300.0,413.0,300.0,487.0,0,1,0,0,right
20,300.0,409.0,300.0,491.0,0,1,0,0,right
21,300.0,408.0,300.0,492.0,0,1,0,0,right
22,300.0,407.0,300.0,493.0,0,1,0,0,right
23,300.0,404.0,300.0,496.0,0,1,0,0,right
24,300.0,403.0,300.0,497.0,0,1,0,0,right
25,300.0,402.0,300.0,498.0,0,1,0,0,right
26,300.0,399.0,300.0,501.0,0,1,0,0,right
27,300.0,395.0,300.0,505.0,0,1,0,0,right
28,300.0,393.0,300.0,507.0,0,1,0,0,right
29,300.0,392.0,300.0,508.0,0,1,0,0,right
30,300.0,391.0,300.0,509.0,0,1,0,0,right
31,300.0,390.0,300.0,510.0,0,1,0,0,right
32,300.0,389.0,300.0,511.0,0,1,0,0,right
33,300.0,387.0,300.0,513.0,0,1,0,0,right
34,300.0,386.0,300.0,514.0,0,1,0,0,right
35,300.0,385.0,300.0,515.0,0,1,0,0,right
36,300.0,381.0,300.0,519.0,0,1,0,0,right
37,300.0,380.0,300.0,520.0,0,1,0,0,right
38,300.0,377.0,300.0,523.0,0,1,0,0,right
39,300.0,374.0,300.0,526.0,0,1,0,0,right
40,300.0,373.0,300.0,527.0,0,1,0,0,right
41,300.0,372.0,300.0,528.0,0,1,0,0,right
42,300.0,370.0,300.0,530.0,0,1,0,0,right
43,300.0,369.0,300.0,531.0,0,1,0,0,right
44,300.0,364.0,300.0,536.0,0,1,0,0,right
45,300.0,363.0,300.0,537.0,0,1,0,0,right
46,300.0,362.0,300.0,538.0,0,1,0,0,right
47,300.0,360.0,300.0,540.0,0,1,0,0,right
48,300.0,357.0,300.0,543.0,0,1,0,0,right
49,300.0,356.0,300.0,544.0,0,1,0,0,right
50,300.0,355.0,300.0,545.0,0,1,0,0,right
51,300.0,352.0,300.0,548.0,0,1,0,0,right
52,300.0,343.0,300.0,557.0,0,1,0,0,right
53,300.0,341.0,300.0,559.0,0,1,0,0,right
54,300.0,340.0,300.0,560.0,0,1,0,0,right
55,300.0,339.0,300.0,561.0,0,1,0,0,right
56,300.0,336.0,300.0,564.0,0,1,0,0,right
